O1,O2,O3,O4,O5,Y1,Y2,Y3,Y4,Y5
0.964,0.956,0.976,1.192,1.032,0.752,0.736,0.78,1.42,0.928
0.964,0.944,0.944,1.184,1.04,0.788,0.72,0.764,1.22,0.948
0.972,0.968,0.96,1.188,1.032,0.776,0.752,0.744,1.072,0.948
0.976,0.964,0.96,1.16,1.032,0.748,0.764,0.748,1.228,0.968
0.952,0.972,0.956,1.156,1.028,0.78,0.788,0.744,1.14,0.968
0.952,0.976,0.928,1.172,1.032,0.824,0.8,0.744,1.132,0.94
0.96,1.008,0.948,1.188,1.036,0.784,0.772,0.732,1.144,0.908
0.964,0.992,0.948,1.176,1.032,0.748,0.728,0.752,1.516,0.912
0.944,0.996,0.948,1.168,1.036,0.776,0.7,0.764,1.428,0.912
0.952,1.008,0.976,1.156,1.032,0.804,0.7,0.784,1.332,0.904
0.948,1.004,0.968,1.16,1.036,0.844,0.672,0.776,1.316,0.896
0.932,1.012,0.956,1.144,1.032,0.792,0.684,0.748,1.344,0.908
0.912,1.02,0.96,1.14,1.032,0.812,0.712,0.736,1.376,0.872
0.92,1.008,0.98,1.128,1.036,0.804,0.784,0.744,1.516,0.844
0.908,1.012,0.976,1.112,1.036,0.772,0.836,0.736,1.328,0.848
0.928,1.016,0.98,1.152,1.044,0.756,0.884,0.752,1.28,0.892
0.952,1.008,0.984,1.196,1.056,0.732,0.932,0.764,1.292,0.916
0.96,1.008,0.98,1.272,1.056,0.8,0.956,0.768,1.452,0.932
0.964,1.016,0.984,1.272,1.056,0.848,0.832,0.812,1.452,0.944
0.996,1.012,0.976,1.292,1.068,0.824,0.848,0.832,1.42,0.936
1.008,1.004,0.98,1.284,1.08,0.744,0.88,0.868,1.4,0.908
1.024,0.988,0.984,1.168,1.076,0.716,0.936,0.836,1.432,0.952
1.016,0.98,1,1.116,1.06,0.708,0.98,0.84,1.536,0.956
0.996,0.992,0.992,1.188,1.056,0.684,0.976,0.82,1.496,0.916
1.004,0.964,0.992,1.264,1.06,0.684,0.868,0.812,1.364,0.956
1.016,0.96,0.984,1.244,1.04,0.704,0.84,0.832,1.264,0.952
1.012,0.96,0.976,1.24,1.064,0.656,0.92,0.852,1.452,0.904
0.98,0.984,0.968,1.24,1.052,0.64,1.044,0.884,1.444,0.936
0.936,0.972,0.996,1.264,1.032,0.648,1.084,0.904,1.376,0.94
0.94,0.972,0.996,1.224,1.048,0.652,0.968,0.944,1.192,0.924
0.964,0.968,0.976,1.208,1.044,0.704,0.916,0.956,1.384,0.96
0.968,0.976,0.956,1.22,1.044,0.812,1.024,0.908,1.508,0.968
0.964,0.98,0.936,1.18,1.044,0.768,1.08,0.876,1.108,0.936
0.992,0.996,0.916,1.168,1.048,0.708,1.072,0.904,1.148,0.972
1.02,0.988,0.944,1.156,1.048,0.748,0.912,0.964,1.192,0.964
1.036,1.008,0.944,1.164,1.048,0.812,0.916,0.984,1.084,0.932
1.028,0.964,0.952,1.196,1.052,0.8,0.96,0.972,1.424,0.952
1.04,0.968,0.984,1.188,1.048,0.736,1.056,0.944,1.324,0.936
1.04,0.968,1,1.188,1.04,0.76,1.064,0.924,1.392,0.892
1.04,0.98,0.956,1.196,1.028,0.756,0.92,0.92,1.436,0.924
1.02,0.98,0.944,1.196,1.024,0.768,0.948,0.932,1.348,0.94
1.02,0.98,0.972,1.188,1.004,0.772,1.092,0.936,1.388,0.916
1.016,0.98,0.972,1.212,0.996,0.776,1.096,0.928,1.448,0.948
1.028,0.984,0.992,1.184,0.992,0.808,1.088,0.928,1.316,0.856
1.024,0.984,0.992,1.196,0.996,0.764,0.92,0.964,1.464,0.832
1.028,0.984,1.008,1.196,0.996,0.748,0.896,1.028,1.504,0.796
1.02,0.976,1.008,1.216,1,0.832,0.888,1.04,1.392,0.8
1.012,0.948,1.012,1.2,1.004,0.824,0.928,1.02,1.304,0.984
1.02,0.948,1.016,1.196,1.012,0.78,0.868,0.956,1.38,0.92
1.008,0.96,1,1.216,1.02,0.792,0.752,0.9,1.36,0.984
1.008,0.96,0.988,1.192,1.02,0.872,0.76,0.892,1.38,1.032
0.996,0.972,0.984,1.22,1.024,0.872,0.748,0.9,1.256,0.956
0.98,0.968,0.964,1.236,1.028,0.788,0.884,0.964,1.412,0.98
0.984,0.972,0.972,1.22,1.032,0.804,1.12,1.016,1.496,0.976
0.98,0.976,0.952,1.228,1.036,0.812,0.992,1.036,1.38,0.924
0.972,0.98,0.932,1.24,1.04,0.768,0.9,1.048,1.292,0.948
0.976,0.992,0.924,1.232,1.04,0.732,0.816,1.02,1.464,0.968
0.98,0.984,0.94,1.208,1.044,0.708,0.82,1.004,1.44,0.964
0.98,0.984,0.968,1.212,1.048,0.76,0.816,0.968,1.256,0.964
0.976,0.972,0.932,1.204,1.044,0.888,0.832,0.924,1.352,0.98
0.98,0.976,0.912,1.22,1.052,0.828,0.768,0.908,1.44,0.992
0.992,0.972,0.9,1.216,1.048,0.756,0.788,0.912,1.392,0.936
0.992,0.972,0.908,1.244,1.048,0.808,0.9,0.96,1.312,0.984
0.956,0.984,0.92,1.26,1.052,0.832,0.972,1.02,1.392,1.004
0.96,0.988,0.94,1.136,1.048,0.848,0.908,1.036,1.284,0.956
0.92,0.976,0.956,1.136,1.048,0.736,0.932,1.032,1.3,1.008
0.912,0.972,0.956,1.268,1.052,0.736,0.948,0.996,1.44,1.004
0.908,0.972,0.98,1.248,1.048,0.764,0.972,0.964,1.324,0.98
0.912,0.976,0.98,1.264,1.048,0.856,0.924,0.936,1.22,1.012
0.904,0.96,0.976,1.248,1.032,0.78,0.888,0.928,1.372,1.012
0.912,0.936,0.944,1.248,1.004,0.716,0.832,0.92,1.408,0.968
0.896,0.964,0.928,1.232,1.02,0.712,0.848,0.928,1.196,0.992
0.88,0.976,0.916,1.196,1,0.78,0.888,0.992,1.176,0.992
0.9,0.976,0.936,1.216,0.988,0.876,0.88,1.016,1.132,0.94
0.896,0.984,0.956,1.188,0.996,0.772,0.968,1.024,1.064,0.944
0.908,0.972,0.976,1.192,0.98,0.712,1.048,1.02,1.244,0.872
0.912,0.98,0.972,1.224,0.988,0.752,1.068,0.98,1.252,0.904
0.932,0.976,0.972,1.188,0.984,0.808,1.056,0.876,1.248,0.872
0.936,0.976,0.988,1.204,0.988,0.784,1.02,0.852,1.396,0.908
0.94,0.964,1.012,1.192,0.984,0.732,0.984,0.888,1.368,0.9
0.932,0.96,0.996,1.212,0.98,0.696,0.956,0.9,1.336,0.88
0.912,0.944,1.004,1.244,0.976,0.692,0.992,0.936,1.236,0.968
0.888,0.964,0.952,1.236,0.972,0.772,0.984,0.988,1.288,0.944
0.884,0.956,0.924,1.264,0.964,0.884,0.884,1.012,1.332,0.92
0.872,0.956,0.948,1.272,0.968,0.808,0.872,1.032,1.356,0.976
0.896,0.944,0.96,1.284,0.984,0.74,0.956,1.02,1.284,0.988
0.92,0.948,0.956,1.224,0.992,0.692,1.08,0.98,1.44,0.96
0.948,0.96,0.968,1.14,1.004,0.66,1.04,0.944,1.38,0.996
0.984,0.948,0.964,1.112,1.024,0.676,0.92,0.924,1.34,0.988
1.008,0.948,0.976,1.136,1.028,1.052,0.864,0.896,1.316,0.972
1.028,0.956,1.016,1.204,1.028,0.9,0.924,0.908,1.388,0.996
1.056,0.94,1.048,1.2,1.032,0.836,1.036,0.928,1.324,0.96
1.048,0.928,1.048,1.168,1.032,0.8,1.028,0.964,1.516,0.972
1.044,0.936,1.024,1.16,1.028,0.828,0.98,1.012,1.36,0.98
1.06,0.944,1.024,1.308,1.02,0.796,0.984,1.028,1.312,0.928
1.064,0.96,0.992,1.2,1.02,0.796,0.984,1,1.424,0.932
1.044,0.972,1.008,1.176,1.012,0.728,0.916,0.976,1.304,0.908
1.024,0.972,0.988,1.164,1.016,0.756,0.82,0.948,1.396,0.924
1.016,0.968,0.996,1.128,1.02,0.72,0.82,0.92,1.428,0.952
1.004,0.936,1.004,1.14,1.024,0.704,0.872,0.932,1.28,0.92
0.984,0.936,1.004,1.148,1.036,0.72,0.84,0.94,1.384,0.968
0.988,0.94,1.008,1.128,1.04,0.752,0.892,0.924,1.344,0.968
0.98,0.952,1.004,1.128,1.048,0.868,1.128,0.932,1.304,0.94
0.98,0.952,0.984,1.148,1.052,0.776,1.104,0.92,1.512,0.984
0.98,0.968,0.996,1.144,1.052,0.716,1.088,0.924,1.356,1
0.98,0.98,1,1.12,1.06,0.752,1.04,0.992,1.284,0.948
0.98,0.988,1.016,1.108,1.064,0.92,0.9,1.016,1.376,0.96
0.996,1.004,1.02,1.136,1.064,0.812,0.872,1,1.364,0.948
0.996,1,1.012,1.136,1.064,0.756,0.98,0.992,1.316,0.904
0.996,1.008,1.012,1.128,1.06,0.748,1.092,0.892,1.336,0.948
0.992,1.016,1.016,1.196,1.064,0.788,1.092,0.888,1.312,0.92
0.956,1.028,1.004,1.152,1.056,0.82,1.02,0.876,1.32,0.936
0.952,1.016,1.024,1.184,1.048,0.764,0.968,0.904,1.284,0.864
0.948,1.028,1.016,1.212,1.044,0.74,1.072,0.928,1.28,0.868
0.928,1.028,1,1.176,1.044,0.804,1.124,0.94,1.276,0.768
0.92,1.012,0.984,1.204,1.036,0.88,1.108,0.964,1.368,0.784
0.916,1.016,0.992,1.224,1.032,0.776,1.092,0.984,1.3,0.756
0.904,1.032,0.988,1.188,1.028,0.744,1.064,0.96,1.344,0.776
0.892,1.012,0.996,1.256,1.024,0.8,1.068,0.956,1.352,0.844
0.904,1.012,0.976,1.184,1.032,0.856,1.092,0.948,1.312,0.92
0.924,1.032,0.984,1.188,1.036,0.752,1.052,0.92,1.376,0.988
0.94,1.004,1.008,1.264,1.044,0.716,1.012,0.956,1.24,0.976
0.936,1.012,1.012,1.208,1.044,0.784,1.004,0.912,1.248,0.976
0.936,1.008,0.992,1.208,1.048,0.88,1.004,0.948,1.26,0.948
0.956,1.012,1.004,1.196,1.052,0.784,0.932,0.976,1.076,0.972
0.968,1.012,1.004,1.192,1.06,0.708,0.964,0.956,1.116,0.972
0.968,1.024,0.996,1.188,1.064,0.68,1.04,0.916,1.128,0.948
0.956,1.012,1.008,1.148,1.068,0.744,1.08,0.944,1.364,0.976
0.976,1.024,1.012,1.144,1.064,1.088,1.036,0.928,1.348,0.972
0.98,1.028,1,1.128,1.072,0.912,1.06,0.892,1.308,0.928
0.988,1.032,1.032,1.116,1.072,0.82,1.048,0.872,1.272,0.964
0.984,1.012,1.016,1.128,1.076,0.736,0.94,0.852,1.408,0.984
0.976,1.036,0.996,1.148,1.06,0.72,0.94,0.884,1.384,0.992
1,1.02,1.028,1.1,1.056,0.768,1.008,0.924,1.228,1.008
1,1.02,1.024,1.096,1.052,0.856,0.984,0.948,1.36,1.016
0.996,1.02,0.98,1.104,1.044,0.776,0.952,0.972,1.344,1.012
1.008,1.008,0.98,1.06,1.036,0.836,1.044,0.972,1.224,1.008
1,1,1.004,1.104,1.032,0.756,1.068,0.98,1.356,1.012
0.984,1.016,0.976,1.144,1.024,0.744,0.944,0.948,1.4,0.972
0.976,0.996,0.972,1.108,1.024,0.928,0.96,0.936,1.46,0.944
0.98,0.996,1.004,1.168,1.016,0.904,1.084,0.928,1.34,0.972
0.972,0.992,0.984,1.14,1.016,0.828,1.088,0.944,1.376,0.98
0.976,1,0.996,1.152,1.008,0.832,1.02,1.02,1.408,0.964
0.984,1,1.016,1.188,1.004,0.844,1.044,1.028,1.356,1.008
0.984,1.004,0.992,1.156,1.004,0.8,1.048,1,1.268,1
0.948,0.992,0.98,1.128,1,0.796,1,0.948,1.452,0.964
0.924,0.996,0.944,1.228,1.004,0.776,1.048,0.904,1.424,0.992
0.888,0.996,0.972,1.172,1.008,0.74,1.048,0.876,1.296,0.968
0.88,0.992,1.004,1.136,1.004,0.776,0.94,0.872,1.448,0.908
0.888,0.984,0.964,1.176,1.004,0.788,0.968,0.872,1.428,0.936
0.908,0.996,0.968,1.156,1.008,0.784,1.04,0.872,1.284,0.96
0.912,1.008,0.936,1.156,1.016,0.752,1.088,0.864,1.412,0.916
0.904,0.992,0.92,1.148,1.016,0.668,0.996,0.872,1.428,0.992
0.944,1.004,0.904,1.18,1.012,0.66,1.016,0.944,1.224,0.992
0.952,0.992,0.884,1.184,1.012,0.664,1.036,0.948,1.116,0.948
0.948,0.988,0.872,1.164,1.02,1,1.028,0.856,1.372,0.996
0.916,1,0.868,1.224,1.028,0.844,0.96,0.8,1.236,1.016
0.932,0.992,0.864,1.272,1.04,0.792,0.996,0.784,1.068,0.972
0.956,0.988,0.876,1.136,1.044,0.74,1.04,0.78,1.48,1.012
0.98,0.992,0.844,1.26,1.052,0.772,0.92,0.792,1.24,1.012
0.992,1,0.852,1.16,1.056,0.792,0.964,0.804,1.328,0.96
1,0.988,0.876,1.152,1.052,0.8,1.004,0.816,1.364,1.004
1.016,0.988,0.896,1.172,1.052,0.764,0.98,0.816,1.332,0.968
1.024,0.984,0.892,1.168,1.052,0.712,0.9,0.832,1.292,0.864
1.02,0.988,0.936,1.132,1.056,0.712,0.96,0.828,1.376,0.852
1.004,0.988,0.956,1.168,1.056,0.772,1.008,0.848,1.312,0.892
1.008,0.992,0.956,1.144,1.052,0.82,0.96,0.868,1.416,1.008
1.008,0.98,0.968,1.148,1.052,0.752,0.928,0.852,1.396,0.964
1,0.984,0.984,1.14,1.052,0.78,1.032,0.844,1.272,1.048
0.992,0.996,0.98,1.14,1.052,0.8,1.08,0.86,1.44,1.048
0.992,0.988,1.004,1.104,1.052,0.78,1.008,0.868,1.32,1.016
0.992,1.004,1.008,1.112,1.056,0.76,0.916,0.888,1.236,1.048
1,1.02,1.004,1.116,1.056,0.76,0.972,0.92,1.428,0.984
1,0.996,1.024,1.096,1.068,0.784,1.028,0.92,1.332,1.016
0.992,1.02,1.024,1.072,1.064,0.744,1.016,0.9,1.276,0.996
1.004,1.012,0.98,1.104,1.068,0.704,0.908,0.892,1.464,0.92
1.008,0.996,1.012,1.084,1.06,0.7,0.948,0.884,1.328,0.904
0.972,1.004,1.004,1.124,1.064,0.74,1.032,0.864,1.304,0.844
0.956,1.02,1.012,1.096,1.052,0.78,1.048,0.852,1.436,0.784
0.956,1,1.016,1.072,1.06,0.796,0.956,0.868,1.312,0.808
0.964,1.016,0.984,1.076,1.052,0.748,0.92,0.876,1.444,0.852
0.948,1.02,1.008,1.132,1.052,0.736,0.988,0.88,1.372,1.004
0.94,1.004,0.992,1.096,1.048,0.756,1.044,0.856,1.284,1.032
0.944,1.016,0.992,1.1,1.048,0.744,1.012,0.924,1.444,0.996
0.952,1.012,1.012,1.084,1.052,0.732,0.916,1,1.344,1.032
0.944,1,1.024,1.072,1.052,0.748,0.992,0.996,1.388,1.032
0.96,1.016,1.028,1.112,1.052,0.752,1.056,0.96,1.408,0.952
0.976,1.008,1.048,1.152,1.052,0.748,1.044,0.948,1.344,0.94
0.976,1,1.024,1.216,1.056,0.748,0.944,0.9,1.44,0.952
0.992,1,1.028,1.24,1.06,0.716,0.984,0.864,1.268,0.924
0.976,1,1.036,1.152,1.068,0.68,1.032,0.872,1.36,0.948
1,0.992,1.024,1.188,1.068,0.676,1.028,0.892,1.424,0.972
0.992,0.996,1.016,1.184,1.064,0.712,1.004,0.912,1.4,0.984
0.98,1,1.02,1.176,1.064,0.8,0.912,0.904,1.4,0.96
0.968,0.988,1.004,1.156,1.044,0.772,0.988,0.892,1.248,1.028
0.984,0.968,0.992,1.22,1.028,0.716,1.052,0.912,1.424,1.04
0.988,1.004,1,1.148,1.032,0.708,1.056,0.932,1.36,0.972
0.976,0.996,0.992,1.156,1.028,0.748,0.924,0.952,1.376,1.012
0.984,1.008,1.008,1.136,1.028,0.784,0.956,0.944,1.392,1.032
0.984,0.96,1.02,1.16,1.036,0.724,1.064,0.904,1.264,0.984
0.984,0.952,1.004,1.176,1.032,0.728,1.08,0.896,1.42,1.06
0.964,1.016,1.012,1.156,1.032,0.74,0.916,0.912,1.32,1.064
0.956,1,1.012,1.168,1.04,0.748,0.828,0.936,1.44,1.016
0.96,0.988,1.004,1.18,1.036,0.728,0.816,0.88,1.436,1.052
0.956,0.992,1.012,1.164,1.04,0.72,1.296,0.824,1.428,1.032
0.936,0.996,1.016,1.168,1.032,0.74,1.164,0.82,1.452,0.972
0.948,1,1.012,1.172,1.036,0.884,1.044,0.852,1.404,1.004
0.956,1.008,1.012,1.136,1.036,0.832,1.032,0.884,1.504,1.028
0.948,1,1.004,1.14,1.04,0.748,1.116,0.964,1.404,0.972
0.952,1.008,0.988,1.164,1.048,0.692,1.092,0.964,1.492,1.032
0.968,1.012,1.008,1.128,1.044,0.716,1.092,0.96,1.332,1.028
0.972,1.008,1.004,1.108,1.052,0.756,0.972,0.932,1.448,0.952
0.968,1.008,1.012,1.144,1.056,0.776,0.96,0.964,1.316,1.016
0.948,1.004,1.012,1.148,1.06,0.728,0.988,0.976,1.424,1.02
0.964,1.02,1,1.14,1.064,0.716,1,0.944,1.408,0.98
0.952,1.012,0.992,1.172,1.06,0.768,1.008,0.92,1.324,1.032
0.94,1,1,1.176,1.068,0.94,1.044,0.876,1.292,1.004
0.952,1.004,0.984,1.14,1.06,0.868,1.032,0.876,1.244,0.936
0.968,1.008,0.98,1.136,1.064,0.752,0.976,0.832,1.156,0.948
0.964,1.004,0.992,1.144,1.064,0.744,1.004,0.852,1.092,0.904
0.964,0.996,0.996,1.12,1.076,0.804,1.008,0.88,1.14,0.868
0.976,1.004,0.972,1.152,1.076,0.804,0.96,0.952,1.136,0.92
0.976,1.008,0.992,1.124,1.076,0.756,1.044,0.988,1.196,0.944
0.964,1.012,0.976,1.128,1.08,0.716,1.044,1.004,1.18,0.936
0.964,1.012,0.968,1.136,1.08,0.68,0.952,1.016,1.212,1.044
0.972,1.008,1,1.108,1.084,0.708,0.972,0.992,1.196,1.052
0.968,1.012,0.98,1.112,1.064,0.908,1.044,0.936,1.132,0.984
0.964,1.012,0.988,1.128,1.064,0.824,0.952,0.9,1.268,1.008
0.956,1.012,1,1.132,1.072,0.72,0.972,0.884,1.236,0.972
0.96,1.008,1.012,1.192,1.072,0.696,1.112,0.876,1.344,0.94
0.956,1.008,1.02,1.164,1.056,0.772,1.088,0.916,1.292,0.996
0.948,1.016,1.008,1.2,1.064,0.892,0.992,0.984,1.268,1.052
0.96,1.028,1,1.212,1.06,0.848,1.064,1,1.312,1.02
0.98,1.02,1.008,1.184,1.064,0.744,1.06,0.976,1.228,1.068
0.98,1.028,0.996,1.316,1.04,0.692,1,0.936,1.372,1.048
0.964,1.024,0.996,1.176,1.056,0.724,0.952,0.912,1.268,0.988
0.952,1.02,1,1.16,1.052,0.824,0.984,0.888,1.216,0.968
0.932,1.012,1,1.184,1.052,0.756,1.044,0.884,1.412,0.932
0.94,1.016,0.984,1.16,1.044,0.712,0.996,0.888,1.32,0.872
0.936,1.016,0.976,1.16,1.048,0.688,0.892,0.888,1.452,0.888
0.924,1.012,0.952,1.244,1.052,0.672,0.956,0.94,1.348,0.984
0.944,1.02,0.924,1.176,1.056,0.768,1.12,0.98,1.356,0.968
0.944,1.016,0.98,1.188,1.052,0.936,1.024,0.976,1.468,1.112
0.936,1.008,0.956,1.16,1.056,0.824,0.976,0.96,1.296,1.128
0.904,1.02,0.936,1.16,1.064,0.78,1.092,0.964,1.424,1.036
0.92,1.012,0.896,1.176,1.064,0.712,1.112,0.94,1.3,1.032
0.916,1.024,0.94,1.172,1.072,0.684,0.984,0.892,1.384,0.996
0.892,1.024,0.952,1.188,1.076,0.708,0.976,0.868,1.344,0.896
0.9,1.004,0.956,1.188,1.068,0.828,1.048,0.848,1.4,0.876
0.908,1.004,0.964,1.172,1.068,0.808,1.072,0.86,1.408,0.88
0.896,0.996,1,1.216,1.072,0.744,1.056,0.864,1.332,0.88
0.892,0.996,0.984,1.192,1.068,0.696,0.98,0.916,1.424,0.968
0.892,0.996,0.976,1.176,1.06,0.692,1.004,0.964,1.296,1.012
0.896,0.996,0.992,1.144,1.064,0.76,1.052,0.988,1.48,0.992
0.916,1.004,0.988,1.124,1.064,0.804,1.072,0.96,1.296,0.984
0.94,1.004,0.976,1.136,1.056,0.812,0.964,0.94,1.436,1.012
0.98,1,0.996,1.112,1.064,0.748,1.024,0.912,1.332,0.996
1.012,0.996,0.98,1.128,1.064,0.704,1.08,0.896,1.46,0.972
1.024,0.996,0.984,1.124,1.064,0.736,1.06,0.876,1.404,0.988
1.028,0.996,0.988,1.108,1.052,0.776,0.952,0.876,1.436,0.992
1.044,0.996,0.968,1.1,1.072,0.76,0.972,0.916,1.392,0.992
1.04,1,0.972,1.108,1.064,0.7,1.048,0.928,1.296,1.028
1.032,1.008,0.968,1.084,1.056,0.736,1.04,0.936,1.42,1.028
1.036,1.016,0.96,1.08,1.052,0.764,0.96,0.892,1.296,1.008
1.036,1.024,0.98,1.084,1.064,0.78,1.044,0.844,1.432,0.98
1.016,1.024,1.004,1.048,1.06,0.7,1.076,0.852,1.336,0.96
1.004,1.016,0.988,1.056,1.056,0.676,1.06,0.888,1.332,0.944
1.004,1.028,0.98,1.052,1.056,0.72,1.02,0.916,1.284,0.96
1.008,1.02,1,1.128,1.06,0.828,1.028,0.936,1.352,0.952
1,1.008,0.984,1.144,1.064,0.796,1.04,0.948,1.296,0.884
0.988,1.004,0.984,1.132,1.072,0.724,0.992,0.94,1.308,0.896
0.98,1.012,0.992,1.1,1.068,0.708,1.064,0.92,1.428,0.9
0.996,1.004,0.976,1.14,1.076,0.792,0.996,0.944,1.292,0.928
0.984,1.016,1,1.16,1.08,0.852,0.9,0.972,1.356,0.908
0.956,1.02,1.008,1.152,1.088,0.76,0.868,0.972,1.224,0.964
0.968,1.012,0.992,1.18,1.092,0.744,0.92,0.976,1.344,1
0.976,1.02,0.996,1.196,1.072,0.72,1.072,0.964,1.312,0.956
0.98,1.032,1.008,1.192,1.088,0.788,1.028,0.928,1.388,1
0.972,1.032,0.984,1.188,1.076,0.832,0.976,0.892,1.392,1.004
0.964,1.012,0.976,1.204,1.092,0.732,1.044,0.852,1.36,0.944
0.984,1.02,0.992,1.18,1.072,0.688,1.032,0.892,1.356,0.964
0.98,1.016,0.968,1.168,1.08,0.7,1.024,0.916,1.304,0.976
0.972,1.008,0.952,1.172,1.092,0.764,1.012,0.964,1.38,0.924
0.98,0.996,0.952,1.156,1.088,0.824,1.008,1,1.292,0.956
0.996,1.012,0.98,1.124,1.088,0.76,1.012,0.988,1.36,0.976
1,0.996,0.936,1.12,1.1,0.748,0.988,0.96,1.248,0.936
1.004,0.996,0.924,1.124,1.108,0.764,0.84,0.916,1.34,0.992
1.012,1,0.948,1.108,1.08,0.784,0.844,0.888,1.24,1.004
1.012,1.016,0.964,1.088,1.072,0.76,0.896,0.888,1.288,0.968
1.004,1,0.972,1.112,1.064,0.72,1.02,0.876,1.288,0.984
0.992,1.012,0.992,1.1,1.06,0.7,1.024,0.904,1.284,1.004
1.012,1.012,0.968,1.068,1.052,0.776,0.944,0.98,1.376,0.964
1.02,1.004,0.98,1.088,1.04,0.816,0.984,1.016,1.284,0.984
1.008,1.016,0.992,1.088,1.04,0.748,1.064,0.992,1.356,1.008
0.996,1.008,0.976,1.084,1.036,0.72,1.044,0.948,1.216,0.968
1.016,1,0.968,1.064,1.032,0.76,0.936,0.928,1.44,0.932
1.004,1.016,0.976,1.072,1.048,0.764,0.88,0.864,1.252,0.972
0.984,1,0.984,1.072,1.044,0.748,0.948,0.84,1.34,0.98
0.972,1.004,0.992,1.068,1.036,0.716,1.084,0.832,1.3,0.932
0.98,1.028,0.988,1.124,1.056,0.764,1.04,0.856,1.312,0.976
0.988,1.004,0.984,1.08,1.052,0.8,0.892,0.912,1.404,1.004
0.976,1.016,0.988,1.084,1.052,0.816,0.864,0.952,1.312,0.944
0.98,1.008,1.008,1.104,1.036,0.764,0.796,0.972,1.4,0.928
0.988,1,1.012,1.068,1.06,0.74,0.808,0.96,1.228,0.96
0.988,1.004,0.996,1.068,1.052,0.74,1.092,0.924,1.392,0.956
0.988,1.004,1.02,1.176,1.056,0.788,1.068,0.872,1.332,0.968
0.996,1.008,0.988,1.108,1.06,0.828,1.012,0.84,1.356,1.032
1,1.024,1,1.112,1.044,0.752,1.08,0.864,1.404,1.04
0.98,1.012,1.008,1.188,1.064,0.724,1.108,0.892,1.304,1.024
0.972,1.028,0.988,1.152,1.068,0.748,1.096,0.848,1.488,1.036
0.972,1.028,0.956,1.164,1.072,0.768,1.016,0.828,1.292,0.996
0.984,1.008,0.94,1.172,1.08,0.784,0.984,0.848,1.408,0.98
0.96,1.016,0.944,1.244,1.06,0.752,1.02,0.876,1.268,1.008
0.964,1.012,0.956,1.132,1.08,0.712,1.044,0.876,1.36,0.988
0.972,1.02,0.964,1.168,1.072,0.692,0.992,0.888,1.36,0.956
0.972,1.012,0.952,1.188,1.06,0.752,0.912,0.88,1.396,0.976
0.956,1.016,0.928,1.168,1.076,0.976,0.932,0.888,1.376,0.956
0.96,1.008,0.932,1.152,1.072,0.888,0.984,0.912,1.292,0.94
0.968,1,0.94,1.164,1.076,0.78,0.94,0.916,1.4,0.984
0.98,1.02,0.944,1.196,1.084,0.776,1.04,0.916,1.244,0.968
0.968,1,0.948,1.184,1.08,0.724,1.048,0.912,1.216,0.96
0.96,1.004,0.928,1.18,1.064,0.716,0.964,0.9,1.124,1.012
0.984,1.004,0.916,1.2,1.084,0.744,1.016,0.904,1.296,1.016
0.976,1.016,0.96,1.172,1.072,0.788,1.068,0.896,1.304,0.956
